make :39
made :13
mad :3
macduffs :1
madam :3
majesty :5
magotpies :1
magic :1
madness :1
maids :1
main :2
makes :6
making :2
malady :1
noblemen :1
menteith :8
man :35
males :1
malcolms :1
malice :3
malevolence :1
malicious :1
meet :8
mark :4
mansionry :1
mans :4
manly :2
mankind :1
manhood :2
manner :1
mansion :1
many :9
marble :1
mar :1
march :2
marching :3
meant :1
me :112
master :6
martlet :1
markd :2
marshallst :1
marry :2
marrowless :1
market :1
mars :1
masking :1
marvellst :1
may :30
matters :1
masterdom :1
matter :1
masterpiece :1
material :1
masters :1
mated :1
matrons :1
maws :1
maw :1
mayst :3
mayt :1
mean :4
meal :1
means :5
meek :1
measureless :1
measure :2
measured :1
meat :2
medicines :1
medicine :1
meeting :5
men :16
memorise :1
melted :1
memory :2
menchildren :1
mens :2
mend :1
murderers :10
messengers :1
messenger :12
merciless :1
merciful :2
message :2
mere :3
mercy :2
murderer :37
multiplying :1
minion :1
mine :26
might :7
met :3
metaphysical :1
mettle :1
methought :2
methinks :1
midst :1
middle :1
mewd :1
midnight :1
minds :4
mightst :1
milk :3
mile :2
milks :1
mind :9
mingle :2
most :24
more :51
missives :1
ministers :2
minions :1
minister :2
mischief :1
minute :2
mirth :2
miraculous :1
minutely :1
mischance :1
miss :3
miserable :1
missing :1
mock :2
mistress :2
mistrust :1
moon :2
moment :3
mockery :1
modest :1
modern :1
mongrels :1
momentary :1
monuments :1
monstrous :1
monkey :1
monsters :1
moons :1
mortal :6
morrow :3
morning :2
morn :1
morehaving :1
mortality :1
mortals :1
mortified :1
much :13
mould :1
motion :1
mother :5
mothers :1
motives :1
moves :2
mousing :1
move :4
mouths :1
mouthhonour :1
moving :1
munchd :3
multitudinous :1
mummy :1
murder :9
murderd :5
near :11
my :192
must :35
murdering :1
murderous :1
murders :3
muse :1
murkyfie :1
music :3
nature :20
name :14
myself :11
naked :2
napkins :1
named :2
names :1
natural :2
nation :1
nave :1
natures :6
naught :1
navigation :1
nay :2
newest :3
neer :3
nearest :2
nearer :1
need :3
nearst :1
nearly :1
necks :1
needs :3
needed :1
needful :1
new :12
neither :3
never :13
neptunes :1
neutral :1
nerves :1
nest :1
net :1
newborn :1
newer :1
no :66
night :22
news :4
newly :1
newt :1
nigh :1
nice :1
next :1
niggard :1
nine :4
nights :8
nightgown :3
nightly :1
nimbly :1
nightshriek :1
nipple :1
noble :12
northumberland :2
nor :24
none :13
nobleness :1
noise :5
nod :1
nobly :1
nobles :1
nonpareil :1
noon :1
o :36
norweyan :3
norway :2
norways :1
not :164
nosepainting :1
nose :1
numbers :2
now :53
nothing :16
note :4
nourisher :1
notion :1
noughts :1
notthey :1
nought :1
oer :4
observed :1
obscure :1
obedience :3
oblivious :1
observe :1
ocean :1
occasion :1
odds :1
oerleap :1
oerbear :1
oerfraught :1
oerleaps :1
oertook :1
officer :1
office :3
offerings :1
off :8
offend :1
offer :2
offended :1
on :63
old :12
officers :2
oftentimes :1
offices :2
often :4
oftener :1
oh :3
olden :1
older :1
or :36
ont :4
once :11
one :30
only :12
ones :3
ons :1
opinions :1
open :3
ope :1
opens :1
opend :1
oppose :1
opposed :1
paddock :1
out :27
our :118
other :16
ornament :1
oracles :1
order :2
orphans :1
others :3
ours :2
ourself :2
ourselves :2
overcharged :1
outwardly :1
outrun :1
outside :1
outward :1
over :1
overbold :1
owe :4
overthrown :1
overtake :1
overcome :1
overcredulous :1
overred :1
owed :2
own :17
owl :4
owlets :1
pace :2
passage :2
partner :2
pains :4
pain :1
paid :2
palace :10
painted :2
painting :1
pardon :2
pall :1
pale :3
palaces :1
palehearted :1
palei :1
palpable :1
parallel :1
paper :1
palter :1
part :7
parley :1
park :1
parricide :1
particular :1
parted :1
particulars :1
partners :1
pass :1
people :4
penthouse :1
peak :1
peace :11
pay :4
pauser :1
past :1
passd :1
passion :2
patience :3
patch :1
patient :2
payment :1
pays :1
peerless :1
peep :1
peal :1
pearl :1
pendent :1
peers :1
perfectest :1
perfect :4
perchance :2
perceive :1
perform :4
performance :1
person :3
performd :1
performances :1
pernicious :2
perfumes :1
perilous :1
perseverance :1
scotland :15
ross :54
porter :8
place :11
pine :2
pilots :1
personal :1
pictures :1
persuades :1
physics :1
pertains :1
physic :2
perturbation :1
pesterd :1
petty :1
physician :1
pillows :2
piece :1
pieces :1
pity :2
pitiful :2
pit :1
pious :2
pitied :1
pitfall :1
plight :1
plant :2
places :1
placed :1
plague :1
plenteous :1
play :4
planted :1
please :6
pleasant :1
plead :1
playdst :1
player :1
pleasure :5
pleaset :1
pledge :1
pleasures :1
plenty :2
point :5
pluckd :1
pluck :2
plucks :1
poor :16
poisond :2
poison :1
points :1
pole :1
poorly :1
portable :1
rain :2
quarrel :2
proof :1
pronounce :4
present :8
ports :1
posters :1
post :2
possets :1
possess :1
posterity :1
prediction :1
praises :2
pourd :1
pour :4
pot :1
potent :1
powers :2
power :11
powerful :1
practise :1
pray :13
prate :1
prattler :1
prayers :3
predecessors :1
precious :2
preparation :2
predominance :1
predominant :1
presence :2
prepared :1
prepares :1
prisoner :1
prince :2
prick :2
pretence :1
preserve :1
presently :1
pretend :1
preys :1
pretty :3
primrose :1
pride :1
pricking :1
promised :4
prologues :1
procreant :1
proceed :1
prithee :4
pristine :1
probation :1
proceeding :1
professions :1
profess :1
producing :1
professes :1
profound :1
profit :1
promise :2
pronounced :1
prosperous :2
prospect :1
prophetic :1
prophesying :1
proper :1
prophecy :1
proportion :1
prophetlike :1
proved :1
protest :2
proud :1
prove :1
purpose :5
provided :1
provide :2
provoker :1
provoke :1
provokes :2
purged :1
